"Date","Texas","Addison.TX","Dallas.TX","Ft.Worth.TX","Irving.TX","Plano.TX"
"2007-01-06",3524,3273,3471,2965,3827,4125
"2007-01-13",3126,3488,3155,2891,3624,3937
"2007-01-20",2685,3295,3495,2868,3183,3581
"2007-01-27",3213,3528,3381,2838,3302,3576
"2007-02-03",4183,4228,4338,3259,4464,5325
"2007-02-10",5710,5827,6906,3773,6770,8394
"2007-02-17",5925,6668,7305,4794,7504,9043
"2007-02-24",6565,6523,6726,6054,7612,7984
"2007-03-03",5543,5506,5618,5959,6751,7188
"2007-03-10",4649,4642,4756,5281,5456,5869
"2007-03-17",3324,3972,3408,4684,4305,5019
"2007-03-24",2673,3366,2693,4124,3470,4160
"2007-03-31",2156,2804,2076,3587,2814,3455
"2007-04-07",1899,2607,1813,3247,2272,2871
"2007-04-14",2175,2339,1890,2944,2192,2555
"2007-04-21",1892,2183,1820,2725,2062,2216
"2007-04-28",1693,2034,1608,2470,1892,2072
"2007-05-05",1539,1783,1583,2254,1757,1944
"2007-05-12",1411,1577,1488,2152,1650,1819
"2007-05-19",1381,1477,1363,1906,1551,1794
"2007-05-26",1339,1409,1285,1830,1424,1817
"2007-06-02",1385,1389,1212,1739,1378,1660
"2007-06-09",1359,1319,1219,1685,1433,1595
"2007-06-16",1336,1282,1252,1623,1408,1606
"2007-06-23",1310,1264,1345,1550,1517,1568
"2007-06-30",1178,1285,1271,1488,1470,1476
"2007-07-07",1204,1310,1207,1470,1472,1390
"2007-07-14",1186,1228,1156,1441,1376,1396
"2007-07-21",1224,1217,1238,1412,1351,1362
"2007-07-28",1200,1195,1334,1373,1325,1321
"2007-08-04",1209,1116,1229,1332,1285,1294
"2007-08-11",1308,1079,1216,1310,1275,1362
"2007-08-18",1212,1049,1215,1309,1268,1343
"2007-08-25",1172,1065,1172,1282,1229,1301
"2007-09-01",1323,1077,1181,1263,1208,1324
"2007-09-08",1495,1061,1283,1222,1257,1521
"2007-09-15",1580,1112,1615,1237,1397,1628
"2007-09-22",1758,1236,1730,1266,1656,1669
"2007-09-29",1743,1364,1603,1254,1747,1652
"2007-10-06",2019,1524,1699,1300,1809,1771
"2007-10-13",2267,1709,1920,1313,1905,2191
"2007-10-20",2363,1894,2185,1352,2009,2353
"2007-10-27",2522,2092,2085,1506,2358,2542
"2007-11-03",2680,2274,2199,1609,2620,2700
"2007-11-10",2889,2507,2535,1894,2775,2957
"2007-11-17",2894,2416,2587,2353,2877,2812
"2007-11-24",2386,2528,2298,2460,2856,2917
"2007-12-01",2934,2632,2574,2790,2866,3082
"2007-12-08",2908,2733,2787,3298,3103,2882
"2007-12-15",2615,2865,2612,3158,3179,2713
"2007-12-22",2434,2756,1291,1898,3122,2816
"2007-12-29",3022,2897,1194,1335,2858,2888
"2008-01-05",4408,3009,3270,1348,3150,3214
"2008-01-12",4546,3100,3243,1365,3233,3744
"2008-01-19",4965,3503,4101,1386,3808,4038
"2008-01-26",7135,4679,5551,1476,6124,4980
"2008-02-02",9531,7223,9067,6214,9931,7802
"2008-02-09",9758,8174,8755,9946,9783,11047
"2008-02-16",8440,8847,9288,10807,9560,9576
"2008-02-23",7945,8644,8380,10703,9644,10778
