,Dallas,Denton,Johnson,Parker,Tarrant
2007-01-06,0.0066006600660066,0,0,0,0.00517241379310345
2007-01-13,0,0,0,0,0
2007-01-20,0,0,0,0,0
2007-01-27,0.0369127516778524,0.0152284263959391,0,0,0.0185810810810811
2007-02-03,0.032,0.023696682464455,0,0,0.0285714285714286
2007-02-10,0.0806451612903226,0.032,0,0,0.124223602484472
2007-02-17,0.012012012012012,0.0218340611353712,0,0,0.0769230769230769
2007-02-24,0.0434782608695652,0.0318181818181818,0,0,0.0502958579881657
2007-03-03,0.0216450216450216,0.0379746835443038,0,0,0.0671641791044776
2007-03-10,0.0087719298245614,0.0138248847926267,0,0,0.0296610169491525
2007-03-17,0.0178571428571429,0.0212765957446809,0,0,0.0305343511450382
2007-03-24,0.0163265306122449,0,0,0,0
2007-03-31,0,0.00512820512820513,0,0,0
2007-04-07,0.0227272727272727,0.0116279069767442,0,0,0.00283822138126774
2007-04-14,0.0392156862745098,0,0,0,0.00325732899022801
2007-04-21,0,0.034965034965035,0,0,0.00321027287319422
2007-04-28,0,0,0,0,0
2007-05-05,0.0172413793103448,0.0104166666666667,0,0,0.00136986301369863
2007-05-12,0,0,0,0,0
2007-05-19,0,0,0,0,0
2007-05-26,0,0,0,0,0
2007-06-02,0,0,0,0,0
2007-06-09,0,0,0,0,0
2007-06-16,0,0,0,0,0
2007-06-23,0,0,0,0,0
2007-06-30,0,0,0,0,0
2007-07-07,0,0,0,0,0
2007-07-14,0,0,0,0,0
2007-07-21,0,0,0,0,0
2007-07-28,0,0,0,0,0
2007-08-04,0,0,0,0,0
2007-08-11,0,0,0,0,0
2007-08-18,0,0,0,0,0
2007-08-25,0,0,0,0,0
2007-09-01,0,0,0,0,0
2007-09-08,0,0,0,0,0
2007-09-15,0,0,0,0,0
2007-09-22,0,0,0,0,0
2007-09-29,0,0,0,0,0
2007-10-06,0,0.00864553314121038,0,0,0.00200400801603206
2007-10-13,0.0178571428571429,0.00943396226415094,0,0,0.00146627565982405
2007-10-20,0,0,0,0,0.00202429149797571
2007-10-27,0.02,0,0,0,0.00808080808080808
2007-11-03,0,0.0142857142857143,0,0,0.00939597315436242
2007-11-10,0.00485436893203883,0.0201005025125628,0,0,0.0035778175313059
2007-11-17,0,0.0050251256281407,0,0,0
2007-11-24,0,0,0,0,0.00840336134453781
2007-12-01,0,0.0121951219512195,0,0,0
2007-12-08,0,0,0,0,0.0132450331125828
2007-12-15,0,0.0148148148148148,0,0,0.00906344410876133
2007-12-22,0,0,0,0,0
2007-12-29,0,0,0,0,0.00416666666666667
2008-01-05,0.0263157894736842,0,0,0,0
2008-01-12,0.0206489675516224,0,0,0,0.0066006600660066
2008-01-19,0.0355191256830601,0.0349344978165939,0,0,0.040983606557377
2008-01-26,0.0495356037151703,0.0576923076923077,0,0,0.0260869565217391
2008-02-02,0.0740740740740741,0.0811965811965812,0,0,0.0493421052631579
2008-02-09,0.0804020100502513,0.0748898678414097,0,0,0.133333333333333
2008-02-16,0.0702702702702703,0.0176211453744493,0,0,0.0479452054794521
2008-02-23,0.0935251798561151,0.0351758793969849,0,0,0.0592334494773519
2008-03-01,0.0451612903225806,0.0338983050847458,0,0,0.0620689655172414
2008-03-08,0.0245901639344262,0.0335570469798658,0,0,0.0104895104895105
2008-03-15,0.0104529616724739,0.00606060606060606,0,0,0
2008-03-22,0.0136054421768707,0.0333333333333333,0,0,0
2008-03-29,0,0,0,0,0
2008-04-05,0.00311526479750779,0.00649350649350649,0,0,0
2008-04-12,0,0,0,0,0
2008-04-19,0.00505050505050505,0.00598802395209581,0,0,0
2008-04-26,0,0,0,0,0.0056657223796034
2008-05-03,0,0,0,0,0
2008-05-10,0,0,0,0,0
2008-05-17,0.00271739130434783,0,0,0,0
2008-05-24,0,0,0,0,0
2008-05-31,0.0062111801242236,0,0,0,0.0263157894736842
2008-06-07,0,0,0,0,0
2008-06-14,0,0,0,0,0
2008-06-21,0,0,0,0,0
2008-06-28,0.00769230769230769,0,0,0,0
2008-07-05,0.00617283950617284,0,0,0,0
2008-07-12,0,0,0,0,0
2008-07-19,0.0172413793103448,0,0,0,0
2008-07-26,0,0,0,0,0
2008-08-02,0.0119760479041916,0,0,0,0
2008-08-09,0.00858369098712446,0,0,0,0
2008-08-16,0.00854700854700855,0,0,0,0
2008-08-23,0,0,0,0,0
2008-08-30,0.0128755364806867,0,0,0,0
2008-09-06,0.0444444444444444,0.00476190476190476,0,0,0
2008-09-13,0.0405405405405405,0,0,0,0
2008-09-20,0,0.00458715596330275,0,0,0
2008-09-27,0,0,0,0,0
2008-10-04,0.00457142857142857,0,0.0151515151515152,0,0
2008-10-11,0.0376282782212087,0,0,0,0
2008-10-18,0.0293772032902468,0.0050125313283208,0,0,0
2008-10-25,0.0239583333333333,0.0122699386503067,0,0,0
2008-11-01,0.0296010296010296,0.0114285714285714,0,0,0.00943396226415094
2008-11-08,0.00561009817671809,0.00584795321637427,0,0,0
2008-11-15,0.0221565731166913,0.00546448087431694,0,0,0
2008-11-22,0.0476190476190476,0.0117647058823529,0,0,0
2008-11-29,0.0252225519287834,0,0,0,0
2008-12-06,0.0418679549114332,0.0116279069767442,0,0,0.0177935943060498
2008-12-13,0.0241837968561064,0,0,0,0.00740740740740741
2008-12-20,0.0217391304347826,0,0,0,0
2008-12-27,0,0.1,0,0,0.00943396226415094
2009-01-03,0.0229419703103914,0,0,0,0
2009-01-10,0.0122511485451761,0,0.0263157894736842,0,0.0222222222222222
2009-01-17,0.0311475409836066,0,0,0,0.014760147601476
2009-01-24,0.0625850340136054,0.0224719101123595,0.0208333333333333,0,0.014336917562724
2009-01-31,0.0659955257270693,0.0628019323671498,0,0,0.0781841109709962
2009-02-07,0.156129032258065,0.0789473684210526,0.0517241379310345,0,0.0828402366863905
2009-02-14,0.123567921440262,0.0702702702702703,0.0508474576271186,0,0.0733695652173913
2009-02-21,0.118290258449304,0.065989847715736,0.0161290322580645,0,0.146909827760892
2009-02-28,0.0939457202505219,0.0363636363636364,0,0,0.0546875
2009-03-07,0.0608272506082725,0.0105263157894737,0,0,0.0425531914893617
2009-03-14,0.0458190148911798,0.0119760479041916,0,0,0.0306748466257669
2009-03-21,0.0328358208955224,0,0.0227272727272727,0,0.0102040816326531
2009-03-28,0.0116686114352392,0.0109289617486339,0,0,0
2009-04-04,0.00736196319018405,0.00699300699300699,0,0,0.0078740157480315
2009-04-11,0.00757575757575758,0,0,0,0
2009-04-18,0.00479041916167665,0.00657894736842105,0,0,0
2009-04-25,0.0135416666666667,0,0,0,0.00564971751412429
2009-05-02,0.0465465465465465,0.0576923076923077,0.0196078431372549,0,0.0145772594752187
2009-05-09,0.036848792884371,0,0.0185185185185185,0,0.00699300699300699
2009-05-16,0.0255591054313099,0.00684931506849315,0,0,0
2009-05-23,0.0197568389057751,0,0,0,0
2009-05-30,0.00869565217391304,0,0,0,0
2009-06-06,0,0,0,0,0
2009-06-13,0.0197368421052632,0,0,0,0
2009-06-20,0.0358126721763085,0,0,0,0
2009-06-27,0.0195121951219512,0,0,0,0.0176991150442478
2009-07-04,0.0267062314540059,0.0172413793103448,0,0,0.032520325203252
2009-07-11,0.00354609929078014,0,0,0,0
2009-07-18,0.0107816711590297,0.0135135135135135,0,0,0.0158730158730159
2009-07-25,0.0169902912621359,0,0,0,0
2009-08-01,0.0229357798165138,0,0,0,0
2009-08-08,0.0327868852459016,0,0,0,0.0165289256198347
2009-08-15,0.0200729927007299,0.0158730158730159,0,0,0.0175438596491228
2009-08-22,0.0226086956521739,0,0,0,0
2009-08-29,0.0252427184466019,0.00561797752808989,0,0,0.02
2009-09-05,0.0226700251889169,0.021505376344086,0,0,0.00884955752212389
2009-09-12,0.047029702970297,0,0,0,0.00699300699300699
2009-09-19,0.113382899628253,0.0132978723404255,0,0,0.0625
2009-09-26,0.186046511627907,0.0305343511450382,0,0,0.141304347826087
2009-10-03,0.238955823293173,0.0387596899224806,0,0,0.158730158730159
2009-10-10,0.245091830272324,0.240336134453782,0.0169491525423729,0,0.116049382716049
2009-10-17,0.119205298013245,0.192468619246862,0.0317460317460317,0,0.170212765957447
2009-10-24,0.13370253164557,0.252803261977574,0,0,0.101351351351351
2009-10-31,0.0797213622291022,0.208847736625514,0,0,0.00689655172413793
2009-11-07,0.0632530120481928,0.165775401069519,0.0175438596491228,0,0.0314285714285714
2009-11-14,0.0382424735557364,0.157780195865071,0.0294117647058824,0,0.0159362549800797
2009-11-21,0.033195020746888,0.13026444662096,0,0,0.0155038759689922
2009-11-28,0.0192743764172336,0.129139072847682,0,0,0.0117647058823529
2009-12-05,0.0191826522101751,0.0922155688622754,0,0,0.0078125
2009-12-12,0.0169172932330827,0.104972375690608,0,0,0.00675675675675676
2009-12-19,0.0180608365019011,0.218468468468468,0,0,0.0102739726027397
2009-12-26,0.015531660692951,0.142045454545455,0.037037037037037,0,0.0458715596330275
2010-01-02,0.018842530282638,0.0961923847695391,0,0,0
2010-01-09,0.0132248219735504,0.0696022727272727,0,0,0.0078125
2010-01-16,0.0124444444444444,0.150729335494327,0,0,0.0211267605633803
2010-01-23,0.0115452930728242,0.141007194244604,0,0,0.00671140939597315
2010-01-30,0.0132978723404255,0.151796060254925,0,0,0.0142857142857143
2010-02-06,0.00736067297581493,0.188834154351396,0,0,0.016
2010-02-13,0.00976800976800977,0.122448979591837,0,0,0.0161290322580645
2010-02-20,0.0158371040723982,0.114077669902913,0.0169491525423729,0,0.0236220472440945
2010-02-27,0.0151843817787419,0.155405405405405,0,0.0783898305084746,0
2010-03-06,0.0107181136120043,0.154471544715447,0.0178571428571429,0.0277777777777778,0.00315457413249211
2010-03-13,0.00589970501474926,0.109622411693057,0,0.0728929384965831,0.0155038759689922
2010-03-20,0.00254777070063694,0.142857142857143,0,0.0407331975560081,0
2010-03-27,0.00205128205128205,0.107508532423208,0,0.02734375,0
2010-04-03,0.00232018561484919,0.117263843648208,0,0,0
2010-04-10,0.00238663484486874,0.119327731092437,0,0,0.00925925925925926
2010-04-17,0.0103626943005181,0.117948717948718,0,0,0
2010-04-24,0,0.139871382636656,0,0,0
2010-05-01,0.00254777070063694,0.0631578947368421,0,0,0.00384615384615385
2010-05-08,0.00275482093663912,0.128975265017668,0,0,0
2010-05-15,0,0.124794745484401,0,0,0
2010-05-22,0.00459418070444104,0.05,0,0,0
2010-05-29,0,0.156126482213439,0,0,0
2010-06-05,0.00171526586620926,0.154046997389034,0,0,0
2010-06-12,0.00166666666666667,0.125252525252525,0,0,0
2010-06-19,0,0.169665809768638,0,0,0
2010-06-26,0,0.139423076923077,0,0,0
2010-07-03,0.00335570469798658,0.118942731277533,0,0,0
2010-07-10,0,0.15546218487395,0,0,0
2010-07-17,0.0073394495412844,0.116483516483516,0,0,0
2010-07-24,0.0100200400801603,0.0155038759689922,0,0,0
2010-07-31,0,0,0,0,0
2010-08-07,0.00321543408360129,0.0135135135135135,0,0,0
2010-08-14,0.00843881856540084,0,0,0,0
2010-08-21,0.00847457627118644,0.0217391304347826,0,0,0
2010-08-28,0.0132450331125828,0.0141509433962264,0,0,0
2010-09-04,0.00425531914893617,0,0,0,0
2010-09-11,0.0106382978723404,0.0113636363636364,0,0,0
2010-09-18,0.00257731958762887,0,0,0,0
2010-09-25,0.00617283950617284,0,0,0,0
2010-10-02,0,0.0181818181818182,0,0,0
2010-10-09,0.000917431192660551,0.041025641025641,0,0,0
2010-10-16,0.00330305532617671,0.0782918149466192,0,0,0
2010-10-23,0.00665926748057714,0.0832282471626734,0,0,0
2010-10-30,0.00592216582064298,0.0875512995896033,0,0,0
2010-11-06,0.012807881773399,0.111929307805596,0,0,0
2010-11-13,0.0102040816326531,0.130674002751032,0.0307692307692308,0,0
2010-11-20,0.0140712945590994,0.0120967741935484,0,0,0
